id;creation_date;publication_date;headline;leadtext;bodytext;quote;conclusion;link_text;link_url;image;image_content_type;appuser_id;blog_id
1;2021-10-13T04:22:11;2021-10-12T22:34:52;mesh EXE Técnico;action-items;Gorro;gráfico Juguetería Loan;Verde mission-critical Extremadura;revolutionize Mercados;Cuba;../fake-data/blob/hipster.png;image/png;1;1
2;2021-10-13T04:51:37;2021-10-12T15:26:19;bypassing Barranco;backing;payment Tácticas;PCI Home;Zapatos;Amarillo withdrawal Sorprendente;Checking Digitalizado;../fake-data/blob/hipster.png;image/png;2;2
3;2021-10-13T02:10:35;2021-10-13T00:52:29;innovative Avon transform;Funcionario;XSS connecting;clicks-and-mortar Guapo;Gerente;redefine PCI;withdrawal matrix synergize;../fake-data/blob/hipster.png;image/png;1;3
4;2021-10-12T18:04:32;2021-10-13T07:50:38;generate Comunidad connecting;Edificio deposit;Algodón Administrador;Genérico payment Configurable;Optimizado;Ejecutivo Fantástico;bypassing Savings Soluciones;../fake-data/blob/hipster.png;image/png;1;4
5;2021-10-12T21:20:48;2021-10-13T14:18:55;Informática;copy;Bedfordshire metrics;Navarra connecting;frictionless;Ergonómico input;estructura conglomeración;../fake-data/blob/hipster.png;image/png;1;5
6;2021-10-12T17:31:41;2021-10-12T17:33:37;Cataluña orientado;Productor protocol;withdrawal;Berkshire Hormigon;Cambridgeshire;Pequeño Para Cantabria;habilidad synthesize;../fake-data/blob/hipster.png;image/png;2;6
7;2021-10-13T14:55:10;2021-10-13T14:31:23;Vietnam;payment Mancha;SMTP;Director microchip Verde;Inteligente Borders Peso;Intuitivo generate deliverables;Granito;../fake-data/blob/hipster.png;image/png;2;7
8;2021-10-12T22:32:15;2021-10-13T09:09:17;array array de;División Asociado;markets;Actualizable Investigación recontextualize;Finlandia invoice;Portugal;Salchichas Guapa;../fake-data/blob/hipster.png;image/png;1;8
9;2021-10-13T03:12:00;2021-10-13T05:12:56;Pizza Uruguay;Dollar Juguetería;Gerente Bélgica turn-key;Loan Gorro Rústico;deposit Pollo;necesidades Humano redundant;Acero generate Sudán;../fake-data/blob/hipster.png;image/png;2;9
10;2021-10-13T07:20:40;2021-10-13T08:17:10;payment;ADP solución medición;compelling;program Account Aragón;synergies;impactful Account;quantify Teclado;../fake-data/blob/hipster.png;image/png;1;10
